team_name,team_id,season,players_used,avg_age,possession,matches_played,goals,assists,pens_made,pens_att,yellow_cards,red_cards,goals_per90,assists_per90
Arsenal,18bb7c10,2025-2026,24,26.7,57.9,28,52,38,3,3,38,0,1.86,1.36
Aston Villa,8602292d,2025-2026,30,28.4,53.9,27,36,27,0,0,39,1,1.33,1.0
Bournemouth,4ba7cbea,2025-2026,26,25.7,49.4,27,43,25,3,4,63,1,1.59,0.93
Brentford,cd051869,2025-2026,23,25.9,46.6,27,39,24,6,8,53,1,1.44,0.89
Brighton,d07537b9,2025-2026,27,26.4,52.6,27,35,20,3,5,65,0,1.3,0.74
Burnley,943e8050,2025-2026,26,27.8,41.3,27,27,20,2,2,47,2,1.0,0.74
Chelsea,cff3d9bb,2025-2026,26,24.8,58.8,27,48,31,7,7,66,6,1.78,1.15
Crystal Palace,47c64c55,2025-2026,28,26.9,45.1,27,28,17,5,5,58,1,1.04,0.63
Everton,d3fd31cc,2025-2026,22,28.0,44.1,27,27,21,2,2,52,4,1.0,0.78
Fulham,fd962109,2025-2026,24,28.8,51.3,27,34,23,3,3,55,0,1.26,0.85
Leeds United,5bfb9659,2025-2026,24,27.2,45.1,27,37,19,4,5,45,0,1.37,0.7
Liverpool,822bd0ba,2025-2026,23,27.2,60.5,27,41,28,1,2,41,1,1.52,1.04
Manchester City,b8fd03ef,2025-2026,27,25.9,59.1,27,53,42,3,4,51,0,1.96,1.56
Manchester Utd,19538871,2025-2026,27,26.6,53.2,27,46,34,2,4,38,1,1.7,1.26
Newcastle United,b2b47a98,2025-2026,25,27.5,52.8,27,38,20,5,5,45,2,1.41,0.74
Nottingham Forest,e4a775cb,2025-2026,31,26.4,48.5,27,25,15,2,2,39,1,0.93,0.56
Sunderland,8ef52968,2025-2026,28,25.9,44.3,27,25,17,3,4,53,2,0.93,0.63
Tottenham Hotspur,361ca564,2025-2026,27,25.9,50.7,27,36,28,0,0,70,3,1.33,1.04
West Ham United,7c21e445,2025-2026,32,27.0,42.6,27,30,18,3,3,45,3,1.11,0.67
Wolves,8cec06e1,2025-2026,29,26.6,43.4,28,17,11,2,4,60,3,0.61,0.39
