id,match_id,player_id,h_team,a_team,h_goals,a_goals,date,season,minute,result,situation,shot_type,last_action,x,y,xg,player,h_a,player_assisted
670189,29041,9024,Crystal Palace,Wolverhampton Wanderers,1,0,2026-02-22 14:00:00,2025,4,MissedShots,OpenPlay,RightFoot,None,0.71,0.46900001525878904,0.21321608126163483,Yeremi Pino,h,
670193,29041,5675,Crystal Palace,Wolverhampton Wanderers,1,0,2026-02-22 14:00:00,2025,29,BlockedShot,OpenPlay,RightFoot,LayOff,0.735,0.5409999847412109,0.015941880643367767,Ismaila Sarr,h,Jørgen Strand Larsen
670196,29041,11070,Crystal Palace,Wolverhampton Wanderers,1,0,2026-02-22 14:00:00,2025,33,BlockedShot,OpenPlay,RightFoot,BallRecovery,0.7819999694824219,0.575,0.06617855280637741,Jørgen Strand Larsen,h,Will Hughes
670197,29041,9024,Crystal Palace,Wolverhampton Wanderers,1,0,2026-02-22 14:00:00,2025,34,BlockedShot,FromCorner,RightFoot,Pass,0.855,0.519000015258789,0.05349539592862129,Yeremi Pino,h,Adam Wharton
670198,29041,5675,Crystal Palace,Wolverhampton Wanderers,1,0,2026-02-22 14:00:00,2025,34,ShotOnPost,FromCorner,LeftFoot,Clearance,0.950999984741211,0.5420000076293945,0.40084609389305115,Ismaila Sarr,h,Yeremi Pino
670201,29041,12409,Crystal Palace,Wolverhampton Wanderers,1,0,2026-02-22 14:00:00,2025,45,MissedShots,FromCorner,Head,None,0.9059999847412109,0.4929999923706055,0.04451354593038559,Adam Wharton,h,
670203,29041,8214,Crystal Palace,Wolverhampton Wanderers,1,0,2026-02-22 14:00:00,2025,55,SavedShot,OpenPlay,LeftFoot,None,0.8909999847412109,0.645,0.06357406079769135,Tyrick Mitchell,h,
670204,29041,11167,Crystal Palace,Wolverhampton Wanderers,1,0,2026-02-22 14:00:00,2025,57,MissedShots,SetPiece,Head,Aerial,0.925,0.634000015258789,0.009478536434471607,Chadi Riad,h,Adam Wharton
670206,29041,9024,Crystal Palace,Wolverhampton Wanderers,1,0,2026-02-22 14:00:00,2025,76,SavedShot,DirectFreekick,RightFoot,Standard,0.779000015258789,0.585,0.08412831276655197,Yeremi Pino,h,
670207,29041,10760,Crystal Palace,Wolverhampton Wanderers,1,0,2026-02-22 14:00:00,2025,78,BlockedShot,OpenPlay,RightFoot,None,0.8059999847412109,0.34400001525878904,0.03002733737230301,Brennan Johnson,h,
670208,29041,8430,Crystal Palace,Wolverhampton Wanderers,1,0,2026-02-22 14:00:00,2025,79,MissedShots,FromCorner,Head,Aerial,0.9369999694824219,0.4620000076293945,0.05927615985274315,Chris Richards,h,Brennan Johnson
670209,29041,8006,Crystal Palace,Wolverhampton Wanderers,1,0,2026-02-22 14:00:00,2025,89,Goal,OpenPlay,RightFoot,Cross,0.9209999847412109,0.5609999847412109,0.3514210283756256,Evann Guessand,h,Tyrick Mitchell
670210,29041,6145,Crystal Palace,Wolverhampton Wanderers,1,0,2026-02-22 14:00:00,2025,93,MissedShots,FromCorner,RightFoot,None,0.8819999694824219,0.5820000076293945,0.0723581314086914,Daichi Kamada,h,
670211,29041,13091,Crystal Palace,Wolverhampton Wanderers,1,0,2026-02-22 14:00:00,2025,93,MissedShots,FromCorner,RightFoot,Rebound,0.9519999694824218,0.509000015258789,0.6156824827194214,Jaydee Canvot,h,Daichi Kamada
