player_name,player_id,player_url,nationality,position,age,age_years,team_name,team_id,season
David Raya,98ea5115,/en/players/98ea5115/matchlogs/2025-2026/summary/David-Raya-Match-Logs,ESP,GK,30-165,30,Arsenal,18bb7c10,2025-2026
Martín Zubimendi,3ee0dd59,/en/players/3ee0dd59/matchlogs/2025-2026/summary/Martin-Zubimendi-Match-Logs,ESP,MF,27-025,27,Arsenal,18bb7c10,2025-2026
Declan Rice,1c7012b8,/en/players/1c7012b8/matchlogs/2025-2026/summary/Declan-Rice-Match-Logs,ENG,MF,27-044,27,Arsenal,18bb7c10,2025-2026
Jurriën Timber,41034650,/en/players/41034650/matchlogs/2025-2026/summary/Jurrien-Timber-Match-Logs,NED,DF,24-255,24,Arsenal,18bb7c10,2025-2026
William Saliba,972aeb2a,/en/players/972aeb2a/matchlogs/2025-2026/summary/William-Saliba-Match-Logs,FRA,DF,24-340,24,Arsenal,18bb7c10,2025-2026
Gabriel Magalhães,67ac5bb8,/en/players/67ac5bb8/matchlogs/2025-2026/summary/Gabriel-Magalhaes-Match-Logs,BRA,DF,28-070,28,Arsenal,18bb7c10,2025-2026
Viktor Gyökeres,4d5a9185,/en/players/4d5a9185/matchlogs/2025-2026/summary/Viktor-Gyokeres-Match-Logs,SWE,FW,27-268,27,Arsenal,18bb7c10,2025-2026
Bukayo Saka,bc7dc64d,/en/players/bc7dc64d/matchlogs/2025-2026/summary/Bukayo-Saka-Match-Logs,ENG,"FW,MF",24-175,24,Arsenal,18bb7c10,2025-2026
Leandro Trossard,38ceb24a,/en/players/38ceb24a/matchlogs/2025-2026/summary/Leandro-Trossard-Match-Logs,BEL,"FW,MF",31-085,31,Arsenal,18bb7c10,2025-2026
Riccardo Calafiori,aded8e6f,/en/players/aded8e6f/matchlogs/2025-2026/summary/Riccardo-Calafiori-Match-Logs,ITA,DF,23-284,23,Arsenal,18bb7c10,2025-2026
Piero Hincapié,0c7a48f8,/en/players/0c7a48f8/matchlogs/2025-2026/summary/Piero-Hincapie-Match-Logs,ECU,DF,24-049,24,Arsenal,18bb7c10,2025-2026
Eberechi Eze,ae4fc6a4,/en/players/ae4fc6a4/matchlogs/2025-2026/summary/Eberechi-Eze-Match-Logs,ENG,"MF,FW",27-243,27,Arsenal,18bb7c10,2025-2026
Martin Ødegaard,79300479,/en/players/79300479/matchlogs/2025-2026/summary/Martin-Odegaard-Match-Logs,NOR,MF,27-072,27,Arsenal,18bb7c10,2025-2026
Noni Madueke,bf34eebd,/en/players/bf34eebd/matchlogs/2025-2026/summary/Noni-Madueke-Match-Logs,ENG,"FW,MF",23-354,23,Arsenal,18bb7c10,2025-2026
Mikel Merino,d080ed5e,/en/players/d080ed5e/matchlogs/2025-2026/summary/Mikel-Merino-Match-Logs,ESP,"MF,FW",29-250,29,Arsenal,18bb7c10,2025-2026
Gabriel Martinelli,48a5a5d6,/en/players/48a5a5d6/matchlogs/2025-2026/summary/Gabriel-Martinelli-Match-Logs,BRA,"FW,MF",24-254,24,Arsenal,18bb7c10,2025-2026
