player_name,player_id,player_url,player_image_url,team_name,team_id,league_id,season,position,shirt_number,date_of_birth,age,nationality,second_nationality,height_cm,foot,joined,contract_until,market_value,market_value_numeric
Giorgi Mamardashvili,502676,https://www.transfermarkt.com/giorgi-mamardashvili/profil/spieler/502676,https://img.a.transfermarkt.technology/portrait/medium/502676-1716542116.jpg?lm=1,Liverpool FC,31,EPL,2025,,25,,25,Georgia,,2800,left,,,€28.00m,28000000.0
Alisson,105470,https://www.transfermarkt.com/alisson/profil/spieler/105470,https://img.a.transfermarkt.technology/portrait/medium/105470-1668522221.jpg?lm=1,Liverpool FC,31,EPL,2025,,1,,33,Brazil,,1700,right,,,€17.00m,17000000.0
Freddie Woodman,226049,https://www.transfermarkt.com/freddie-woodman/profil/spieler/226049,https://img.a.transfermarkt.technology/portrait/medium/226049-1737883837.jpg?lm=1,Liverpool FC,31,EPL,2025,,28,,28,England,,300,right,,,€3.00m,3000000.0
Harvey Davies,706815,https://www.transfermarkt.com/harvey-davies/profil/spieler/706815,https://img.a.transfermarkt.technology/portrait/medium/706815-1755504936.jpg?lm=1,Liverpool FC,31,EPL,2025,,95,,22,England,,190,left,,,€500k,500000.0
Ibrahima Konaté,357119,https://www.transfermarkt.com/ibrahima-konate/profil/spieler/357119,https://img.a.transfermarkt.technology/portrait/medium/357119-1669190550.jpg?lm=1,Liverpool FC,31,EPL,2025,,5,,26,France,Mali,5000,right,,,€50.00m,50000000.0
Giovanni Leoni,1086619,https://www.transfermarkt.com/giovanni-leoni/profil/spieler/1086619,https://img.a.transfermarkt.technology/portrait/medium/1086619-1751532399.jpg?lm=1,Liverpool FC,31,EPL,2025,,15,,19,Italy,,2500,right,,,€25.00m,25000000.0
Virgil van Dijk,139208,https://www.transfermarkt.com/virgil-van-dijk/profil/spieler/139208,https://img.a.transfermarkt.technology/portrait/medium/139208-1702049837.jpg?lm=1,Liverpool FC,31,EPL,2025,,4,,34,Netherlands,Suriname,1800,right,,,€18.00m,18000000.0
Joe Gomez,256178,https://www.transfermarkt.com/joe-gomez/profil/spieler/256178,https://img.a.transfermarkt.technology/portrait/medium/256178-1746645094.jpg?lm=1,Liverpool FC,31,EPL,2025,,2,,28,England,The Gambia,1500,right,,,€15.00m,15000000.0
Rhys Williams,503679,https://www.transfermarkt.com/rhys-williams/profil/spieler/503679,https://img.a.transfermarkt.technology/portrait/medium/503679-1674491393.jpg?lm=1,Liverpool FC,31,EPL,2025,,46,,25,England,Jamaica,195,right,,,€500k,500000.0
Milos Kerkez,730861,https://www.transfermarkt.com/milos-kerkez/profil/spieler/730861,https://img.a.transfermarkt.technology/portrait/medium/730861-1660762995.jpg?lm=1,Liverpool FC,31,EPL,2025,,6,,22,Hungary,Serbia,4000,left,,,€40.00m,40000000.0
