id,match_id,player_id,h_team,a_team,h_goals,a_goals,date,season,minute,result,situation,shot_type,last_action,x,y,xg,player,h_a,player_assisted
670374,29046,9021,Tottenham,Arsenal,1,4,2026-02-22 16:30:00,2025,20,BlockedShot,OpenPlay,RightFoot,BallTouch,0.8230000305175781,0.4759999847412109,0.06227592006325722,Pape Sarr,h,Xavi Simons
670377,29046,5743,Tottenham,Arsenal,1,4,2026-02-22 16:30:00,2025,33,Goal,OpenPlay,RightFoot,BallRecovery,0.924000015258789,0.575999984741211,0.07935891300439835,Randal Kolo Muani,h,
670383,29046,8700,Tottenham,Arsenal,1,4,2026-02-22 16:30:00,2025,45,SavedShot,OpenPlay,RightFoot,Pass,0.8090000152587891,0.5890000152587891,0.04653223976492882,Xavi Simons,h,Randal Kolo Muani
670391,29046,6026,Tottenham,Arsenal,1,4,2026-02-22 16:30:00,2025,83,SavedShot,OpenPlay,RightFoot,Cross,0.960999984741211,0.4490000152587891,0.09906435012817383,Richarlison,h,Djed Spence
670392,29046,6026,Tottenham,Arsenal,1,4,2026-02-22 16:30:00,2025,91,SavedShot,OpenPlay,Head,Aerial,0.9359999847412109,0.455,0.08599616587162018,Richarlison,h,Mathys Tel
670394,29046,9021,Tottenham,Arsenal,1,4,2026-02-22 16:30:00,2025,97,SavedShot,OpenPlay,RightFoot,None,0.7380000305175781,0.6140000152587891,0.010036625899374485,Pape Sarr,h,
670369,29046,7254,Tottenham,Arsenal,1,4,2026-02-22 16:30:00,2025,3,BlockedShot,OpenPlay,Head,Cross,0.925,0.5570000076293945,0.10428673028945923,Viktor Gyokeres,a,Jurriën Timber
670370,29046,7698,Tottenham,Arsenal,1,4,2026-02-22 16:30:00,2025,4,BlockedShot,OpenPlay,RightFoot,None,0.68,0.165,0.008129761554300785,Leandro Trossard,a,
670371,29046,7254,Tottenham,Arsenal,1,4,2026-02-22 16:30:00,2025,6,MissedShots,OpenPlay,RightFoot,Pass,0.8859999847412109,0.6919999694824219,0.050743479281663895,Viktor Gyokeres,a,Piero Hincapié
670372,29046,6888,Tottenham,Arsenal,1,4,2026-02-22 16:30:00,2025,16,MissedShots,FromCorner,Head,HeadPass,0.950999984741211,0.5120000076293946,0.4694522023200989,William Saliba,a,Viktor Gyokeres
670373,29046,7698,Tottenham,Arsenal,1,4,2026-02-22 16:30:00,2025,17,MissedShots,OpenPlay,LeftFoot,BallRecovery,0.8140000152587891,0.5020000076293946,0.05713878571987152,Leandro Trossard,a,
670375,29046,8706,Tottenham,Arsenal,1,4,2026-02-22 16:30:00,2025,31,BlockedShot,OpenPlay,LeftFoot,None,0.7819999694824219,0.3729999923706055,0.02563510462641716,Eberechi Eze,a,
670376,29046,8706,Tottenham,Arsenal,1,4,2026-02-22 16:30:00,2025,31,Goal,OpenPlay,RightFoot,None,0.935,0.4620000076293945,0.5693182945251465,Eberechi Eze,a,
